,Date,SC_M1
560,2018-02-09,332.494140625
1366,2018-02-10,341.916015625
1368,2018-02-11,345.51171875
561,2018-02-12,349.1806640625
562,2018-02-13,334.20849609375
563,2018-02-14,331.630859375
564,2018-02-15,343.9521484375
565,2018-02-16,334.4541015625
1370,2018-02-17,334.98828125
1372,2018-02-18,343.9375
566,2018-02-19,343.1962890625
567,2018-02-20,333.37060546875
568,2018-02-21,334.5947265625
569,2018-02-22,345.287109375
570,2018-02-23,334.32421875
1374,2018-02-24,338.001953125
1376,2018-02-25,328.953125
571,2018-02-26,328.30859375
572,2018-02-27,337.0771484375
573,2018-02-28,349.80953210720327
574,2018-03-01,336.484375
575,2018-03-02,339.029296875
1363,2018-03-03,331.40625
1365,2018-03-04,337.1484375
576,2018-03-05,350.9453125
577,2018-03-06,343.94873046875
578,2018-03-07,346.435546875
579,2018-03-08,357.9833984375
580,2018-03-09,352.623046875
1367,2018-03-10,337.798828125
1369,2018-03-11,341.8359375
581,2018-03-12,358.7216796875
582,2018-03-13,351.83447265625
583,2018-03-14,353.3046875
584,2018-03-15,357.330078125
585,2018-03-16,350.7119140625
1371,2018-03-17,332.37890625
1373,2018-03-18,341.125
586,2018-03-19,357.28759765625
587,2018-03-20,351.401611328125
588,2018-03-21,353.4814453125
589,2018-03-22,360.369140625
590,2018-03-23,355.2060546875
1375,2018-03-24,337.314453125
1377,2018-03-25,326.21875
591,2018-03-26,355.1875
592,2018-03-27,359.24951171875
593,2018-03-28,358.197265625
594,2018-03-29,346.9765625
1379,2018-03-30,332.875
1380,2018-03-31,329.4375
1381,2018-04-01,361.45703125
1382,2018-04-02,365.205078125
595,2018-04-03,323.91015625
596,2018-04-04,330.4453125
597,2018-04-05,371.6103515625
598,2018-04-06,369.78125
1383,2018-04-07,366.45703125
1384,2018-04-08,367.701171875
599,2018-04-09,364.4736328125
600,2018-04-10,334.81640625
601,2018-04-11,338.919921875
602,2018-04-12,366.748046875
603,2018-04-13,362.61865234375
1385,2018-04-14,363.388671875
1386,2018-04-15,365.400390625
604,2018-04-16,365.77734375
605,2018-04-17,331.17578125
606,2018-04-18,337.5078125
607,2018-04-19,366.03125
608,2018-04-20,358.77197265625
1387,2018-04-21,359.572265625
1388,2018-04-22,364.65966796875
609,2018-04-23,357.9755859375
610,2018-04-24,335.708984375
611,2018-04-25,322.078125
612,2018-04-26,360.12890625
613,2018-04-27,359.16162109375
1389,2018-04-28,358.169921875
1396,2018-04-29,347.515625
614,2018-04-30,343.6486730957031
615,2018-05-01,361.876953125
616,2018-05-02,367.017578125
617,2018-05-03,335.529296875
618,2018-05-04,334.59765625
1398,2018-05-05,349.7900390625
1390,2018-05-06,355.931640625
1391,2018-05-07,364.3671875
619,2018-05-08,363.896484375
620,2018-05-09,356.392578125
621,2018-05-10,339.68359375
622,2018-05-11,336.5478515625
1400,2018-05-12,351.2744140625
